rating,date,variation,verified_reviews,feedback,lower_text,rem_numbers,no_punct,tokens,rem_stopwords,lemmatized
5,31-Jul-18,Charcoal Fabric ,Love my Echo!,Positive,love my echo!,love my echo!,love my echo,"['love', 'my', 'echo']","['love', 'echo']","['love', 'echo']"
5,31-Jul-18,Charcoal Fabric ,Loved it!,Positive,loved it!,loved it!,loved it,"['loved', 'it']",['loved'],['love']
4,31-Jul-18,Walnut Finish ,"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.",Positive,"sometimes while playing a game, you can answer a question correctly but alexa says you got it wrong and answers the same as you.  i like being able to turn lights on and off while away from home.","sometimes while playing a game, you can answer a question correctly but alexa says you got it wrong and answers the same as you.  i like being able to turn lights on and off while away from home.",sometimes while playing a game you can answer a question correctly but alexa says you got it wrong and answers the same as you  i like being able to turn lights on and off while away from home,"['sometimes', 'while', 'playing', 'a', 'game', 'you', 'can', 'answer', 'a', 'question', 'correctly', 'but', 'alexa', 'says', 'you', 'got', 'it', 'wrong', 'and', 'answers', 'the', 'same', 'as', 'you', 'i', 'like', 'being', 'able', 'to', 'turn', 'lights', 'on', 'and', 'off', 'while', 'away', 'from', 'home']","['sometimes', 'playing', 'game', 'answer', 'question', 'correctly', 'alexa', 'says', 'got', 'wrong', 'answers', 'like', 'able', 'turn', 'lights', 'away', 'home']","['sometimes', 'play', 'game', 'answer', 'question', 'correctly', 'alexa', 'say', 'get', 'wrong', 'answer', 'like', 'able', 'turn', 'light', 'away', 'home']"
5,31-Jul-18,Charcoal Fabric ,"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.",Positive,"i have had a lot of fun with this thing. my 4 yr old learns about dinosaurs, i control the lights and play games like categories. has nice sound when playing music as well.","i have had a lot of fun with this thing. my  yr old learns about dinosaurs, i control the lights and play games like categories. has nice sound when playing music as well.",i have had a lot of fun with this thing my  yr old learns about dinosaurs i control the lights and play games like categories has nice sound when playing music as well,"['i', 'have', 'had', 'a', 'lot', 'of', 'fun', 'with', 'this', 'thing', 'my', 'yr', 'old', 'learns', 'about', 'dinosaurs', 'i', 'control', 'the', 'lights', 'and', 'play', 'games', 'like', 'categories', 'has', 'nice', 'sound', 'when', 'playing', 'music', 'as', 'well']","['lot', 'fun', 'thing', 'yr', 'old', 'learns', 'dinosaurs', 'control', 'lights', 'play', 'games', 'like', 'categories', 'nice', 'sound', 'playing', 'music', 'well']","['lot', 'fun', 'thing', 'yr', 'old', 'learns', 'dinosaur', 'control', 'light', 'play', 'game', 'like', 'category', 'nice', 'sound', 'play', 'music', 'well']"
5,31-Jul-18,Charcoal Fabric ,Music,Positive,music,music,music,['music'],['music'],['music']
5,31-Jul-18,Heather Gray Fabric ,"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.",Positive,"i received the echo as a gift. i needed another bluetooth or something to play music easily accessible, and found this smart speaker. can’t wait to see what else it can do.","i received the echo as a gift. i needed another bluetooth or something to play music easily accessible, and found this smart speaker. can’t wait to see what else it can do.",i received the echo as a gift i needed another bluetooth or something to play music easily accessible and found this smart speaker can’t wait to see what else it can do,"['i', 'received', 'the', 'echo', 'as', 'a', 'gift', 'i', 'needed', 'another', 'bluetooth', 'or', 'something', 'to', 'play', 'music', 'easily', 'accessible', 'and', 'found', 'this', 'smart', 'speaker', 'can', '’', 't', 'wait', 'to', 'see', 'what', 'else', 'it', 'can', 'do']","['received', 'echo', 'gift', 'needed', 'another', 'bluetooth', 'something', 'play', 'music', 'easily', 'accessible', 'found', 'smart', 'speaker', '’', 'wait', 'see', 'else']","['receive', 'echo', 'gift', 'need', 'another', 'bluetooth', 'something', 'play', 'music', 'easily', 'accessible', 'found', 'smart', 'speaker', '’', 'wait', 'see', 'else']"
3,31-Jul-18,Sandstone Fabric ,"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.",Positive,"without having a cellphone, i cannot use many of her features. i have an ipad but do not see that of any use.  it is a great alarm.  if u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.it is fun to ask random questions to hear her response.  she does not seem to be very smartbon politics yet.","without having a cellphone, i cannot use many of her features. i have an ipad but do not see that of any use.  it is a great alarm.  if u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.it is fun to ask random questions to hear her response.  she does not seem to be very smartbon politics yet.",without having a cellphone i cannot use many of her features i have an ipad but do not see that of any use  it is a great alarm  if u r almost deaf you can hear her alarm in the bedroom from out in the living room so that is reason enough to keep herit is fun to ask random questions to hear her response  she does not seem to be very smartbon politics yet,"['without', 'having', 'a', 'cellphone', 'i', 'can', 'not', 'use', 'many', 'of', 'her', 'features', 'i', 'have', 'an', 'ipad', 'but', 'do', 'not', 'see', 'that', 'of', 'any', 'use', 'it', 'is', 'a', 'great', 'alarm', 'if', 'u', 'r', 'almost', 'deaf', 'you', 'can', 'hear', 'her', 'alarm', 'in', 'the', 'bedroom', 'from', 'out', 'in', 'the', 'living', 'room', 'so', 'that', 'is', 'reason', 'enough', 'to', 'keep', 'herit', 'is', 'fun', 'to', 'ask', 'random', 'questions', 'to', 'hear', 'her', 'response', 'she', 'does', 'not', 'seem', 'to', 'be', 'very', 'smartbon', 'politics', 'yet']","['without', 'cellphone', 'use', 'many', 'features', 'ipad', 'see', 'use', 'great', 'alarm', 'u', 'r', 'almost', 'deaf', 'hear', 'alarm', 'bedroom', 'living', 'room', 'reason', 'enough', 'keep', 'herit', 'fun', 'ask', 'random', 'questions', 'hear', 'response', 'seem', 'smartbon', 'politics', 'yet']","['without', 'cellphone', 'use', 'many', 'feature', 'ipad', 'see', 'use', 'great', 'alarm', 'u', 'r', 'almost', 'deaf', 'hear', 'alarm', 'bedroom', 'living', 'room', 'reason', 'enough', 'keep', 'herit', 'fun', 'ask', 'random', 'question', 'hear', 'response', 'seem', 'smartbon', 'politics', 'yet']"
5,31-Jul-18,Charcoal Fabric ,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,Positive,i think this is the 5th one i've purchased. i'm working on getting one in every room of my house. i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house.,i think this is the th one i've purchased. i'm working on getting one in every room of my house. i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house.,i think this is the th one ive purchased im working on getting one in every room of my house i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house,"['i', 'think', 'this', 'is', 'the', 'th', 'one', 'ive', 'purchased', 'im', 'working', 'on', 'getting', 'one', 'in', 'every', 'room', 'of', 'my', 'house', 'i', 'really', 'like', 'what', 'features', 'they', 'offer', 'specifily', 'playing', 'music', 'on', 'all', 'echos', 'and', 'controlling', 'the', 'lights', 'throughout', 'my', 'house']","['think', 'th', 'one', 'ive', 'purchased', 'im', 'working', 'getting', 'one', 'every', 'room', 'house', 'really', 'like', 'features', 'offer', 'specifily', 'playing', 'music', 'echos', 'controlling', 'lights', 'throughout', 'house']","['think', 'th', 'one', 'ive', 'purchase', 'im', 'work', 'get', 'one', 'every', 'room', 'house', 'really', 'like', 'feature', 'offer', 'specifily', 'play', 'music', 'echo', 'control', 'light', 'throughout', 'house']"
5,30-Jul-18,Heather Gray Fabric ,looks great,Positive,looks great,looks great,looks great,"['looks', 'great']","['looks', 'great']","['look', 'great']"
5,30-Jul-18,Heather Gray Fabric ,"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!",Positive,"love it! i’ve listened to songs i haven’t heard since childhood! i get the news, weather, information! it’s great!","love it! i’ve listened to songs i haven’t heard since childhood! i get the news, weather, information! it’s great!",love it i’ve listened to songs i haven’t heard since childhood i get the news weather information it’s great,"['love', 'it', 'i', '’', 've', 'listened', 'to', 'songs', 'i', 'haven', '’', 't', 'heard', 'since', 'childhood', 'i', 'get', 'the', 'news', 'weather', 'information', 'it', '’', 's', 'great']","['love', '’', 'listened', 'songs', '’', 'heard', 'since', 'childhood', 'get', 'news', 'weather', 'information', '’', 'great']","['love', '’', 'listen', 'song', '’', 'heard', 'since', 'childhood', 'get', 'news', 'weather', 'information', '’', 'great']"
5,30-Jul-18,Charcoal Fabric ,"I sent it to my 85 year old Dad, and he talks to it constantly.",Positive,"i sent it to my 85 year old dad, and he talks to it constantly.","i sent it to my  year old dad, and he talks to it constantly.",i sent it to my  year old dad and he talks to it constantly,"['i', 'sent', 'it', 'to', 'my', 'year', 'old', 'dad', 'and', 'he', 'talks', 'to', 'it', 'constantly']","['sent', 'year', 'old', 'dad', 'talks', 'constantly']","['sent', 'year', 'old', 'dad', 'talk', 'constantly']"
5,30-Jul-18,Charcoal Fabric ,I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,Positive,i love it! learning knew things with it eveyday! still figuring out how everything works but so far it's been easy to use and understand. she does make me laugh at times,i love it! learning knew things with it eveyday! still figuring out how everything works but so far it's been easy to use and understand. she does make me laugh at times,i love it learning knew things with it eveyday still figuring out how everything works but so far its been easy to use and understand she does make me laugh at times,"['i', 'love', 'it', 'learning', 'knew', 'things', 'with', 'it', 'eveyday', 'still', 'figuring', 'out', 'how', 'everything', 'works', 'but', 'so', 'far', 'its', 'been', 'easy', 'to', 'use', 'and', 'understand', 'she', 'does', 'make', 'me', 'laugh', 'at', 'times']","['love', 'learning', 'knew', 'things', 'eveyday', 'still', 'figuring', 'everything', 'works', 'far', 'easy', 'use', 'understand', 'make', 'laugh', 'times']","['love', 'learn', 'knew', 'thing', 'eveyday', 'still', 'figure', 'everything', 'work', 'far', 'easy', 'use', 'understand', 'make', 'laugh', 'time']"
5,30-Jul-18,Oak Finish ,"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!",Positive,"i purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.she enjoys all the little and big things it can do...alexa play this song, what time is it and where, and how to cook this and that!","i purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.she enjoys all the little and big things it can do...alexa play this song, what time is it and where, and how to cook this and that!",i purchased this for my mother who is having knee problems now to give her something to do while trying to over come not getting around so fast like she didshe enjoys all the little and big things it can doalexa play this song what time is it and where and how to cook this and that,"['i', 'purchased', 'this', 'for', 'my', 'mother', 'who', 'is', 'having', 'knee', 'problems', 'now', 'to', 'give', 'her', 'something', 'to', 'do', 'while', 'trying', 'to', 'over', 'come', 'not', 'getting', 'around', 'so', 'fast', 'like', 'she', 'didshe', 'enjoys', 'all', 'the', 'little', 'and', 'big', 'things', 'it', 'can', 'doalexa', 'play', 'this', 'song', 'what', 'time', 'is', 'it', 'and', 'where', 'and', 'how', 'to', 'cook', 'this', 'and', 'that']","['purchased', 'mother', 'knee', 'problems', 'give', 'something', 'trying', 'come', 'getting', 'around', 'fast', 'like', 'didshe', 'enjoys', 'little', 'big', 'things', 'doalexa', 'play', 'song', 'time', 'cook']","['purchase', 'mother', 'knee', 'problem', 'give', 'something', 'try', 'come', 'get', 'around', 'fast', 'like', 'didshe', 'enjoys', 'little', 'big', 'thing', 'doalexa', 'play', 'song', 'time', 'cook']"
5,30-Jul-18,Charcoal Fabric ,"Love, Love, Love!!",Positive,"love, love, love!!","love, love, love!!",love love love,"['love', 'love', 'love']","['love', 'love', 'love']","['love', 'love', 'love']"
5,30-Jul-18,Oak Finish ,Just what I expected....,Positive,just what i expected....,just what i expected....,just what i expected,"['just', 'what', 'i', 'expected']",['expected'],['expect']
5,30-Jul-18,Heather Gray Fabric ,"I love it, wife hates it.",Positive,"i love it, wife hates it.","i love it, wife hates it.",i love it wife hates it,"['i', 'love', 'it', 'wife', 'hates', 'it']","['love', 'wife', 'hates']","['love', 'wife', 'hate']"
5,30-Jul-18,Heather Gray Fabric ,Really happy with this purchase.  Great speaker and easy to set up.,Positive,really happy with this purchase.  great speaker and easy to set up.,really happy with this purchase.  great speaker and easy to set up.,really happy with this purchase  great speaker and easy to set up,"['really', 'happy', 'with', 'this', 'purchase', 'great', 'speaker', 'and', 'easy', 'to', 'set', 'up']","['really', 'happy', 'purchase', 'great', 'speaker', 'easy', 'set']","['really', 'happy', 'purchase', 'great', 'speaker', 'easy', 'set']"
5,30-Jul-18,Heather Gray Fabric ,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,Positive,we have only been using alexa for a couple of days and are having a lot of fun with our new toy. it like having a new household member! we are trying to learn all the different featues and benefits that come with it.,we have only been using alexa for a couple of days and are having a lot of fun with our new toy. it like having a new household member! we are trying to learn all the different featues and benefits that come with it.,we have only been using alexa for a couple of days and are having a lot of fun with our new toy it like having a new household member we are trying to learn all the different featues and benefits that come with it,"['we', 'have', 'only', 'been', 'using', 'alexa', 'for', 'a', 'couple', 'of', 'days', 'and', 'are', 'having', 'a', 'lot', 'of', 'fun', 'with', 'our', 'new', 'toy', 'it', 'like', 'having', 'a', 'new', 'household', 'member', 'we', 'are', 'trying', 'to', 'learn', 'all', 'the', 'different', 'featues', 'and', 'benefits', 'that', 'come', 'with', 'it']","['using', 'alexa', 'couple', 'days', 'lot', 'fun', 'new', 'toy', 'like', 'new', 'household', 'member', 'trying', 'learn', 'different', 'featues', 'benefits', 'come']","['use', 'alexa', 'couple', 'day', 'lot', 'fun', 'new', 'toy', 'like', 'new', 'household', 'member', 'try', 'learn', 'different', 'featues', 'benefit', 'come']"
5,30-Jul-18,Charcoal Fabric ,We love the size of the 2nd generation echo. Still needs a little improvement on sound,Positive,we love the size of the 2nd generation echo. still needs a little improvement on sound,we love the size of the nd generation echo. still needs a little improvement on sound,we love the size of the nd generation echo still needs a little improvement on sound,"['we', 'love', 'the', 'size', 'of', 'the', 'nd', 'generation', 'echo', 'still', 'needs', 'a', 'little', 'improvement', 'on', 'sound']","['love', 'size', 'nd', 'generation', 'echo', 'still', 'needs', 'little', 'improvement', 'sound']","['love', 'size', 'nd', 'generation', 'echo', 'still', 'need', 'little', 'improvement', 'sound']"
